Issue ID,Source,Factual problem,Classification,Disposition,Cutover blocker,Affected components,Required guarantee,Acceptance evidence,Phase,Status,Dependencies
LIVE-001,postgresql-cutover.md §2.2; command/service inspection,"`inspect` writes durable verification evidence and changes legal actions, but the legacy command registry and GPT Action template classify it as read-only; clients therefore omit request identity.",Live defect,fix,Yes,`dish_service/command_spec.py`; `dish_service/client.py`; `dish_service/openapi.py`; `dish_tool/commands.py`; `deploy/gpt-action.md`; command/API tests,"Every consequential command has exact request identity, first-outcome replay, and consistent external metadata.",End-to-end client/service/Action tests show `inspect` requires and replays one request ID; checked OpenAPI and instructions agree; legacy production path remains green.,0,Not started,Canonical command-definition source or coordinated edits to every current consumer.
LIVE-002,postgresql-cutover.md §2.2; client inspection,"`apply-proposal` is replay-required, but both bundled ordinary and Action clients omit it from automatic request-ID generation.",Live defect,fix,Yes,`dish_service/client.py`; semantic-proposal service/CLI; OpenAPI; client/service tests,Proposal application is never retried as unbound new work and exposes the exact request ID for response-loss replay.,Client-generated and caller-supplied IDs pass end-to-end; exact replay returns the stored outcome; changed reuse conflicts.,0,Not started,Preserve separation between proposal approval and application.
CUT-001,postgresql-cutover.md §2.3/§8.5; Stage A acceptance report,PostgreSQL lacks the source semantic-proposal and asynchronous Human Review command lifecycle; six commands remain source-only.,Cutover gap,fix,Yes,`dish_tool/semantic_proposals.py`; review/admin commands; `dish_pg/command_contract.py`; `dish_pg/command_port.py`; Human Review tables; OpenAPI and GPT instructions,"Findings, exact proposals, questions/answers, Marco decision, approval/application separation, audit lineage, and rollback data survive cutover.",All six commands have approved target treatment and production paths; Stage A readiness reports no untreated source-only command; lifecycle and authorization tests pass.,3,Blocked,Phase 1 target contract and approved schema disposition.
CUT-002,postgresql-cutover.md §2.3/§8.2,The PostgreSQL Action contract is not legacy-compatible for retained non-create commands and their result/authority semantics.,Cutover gap,fix,Yes,PG command contract/port; legacy service/OpenAPI; checked Action schema; GPT instructions; Action client; shadow translator,"All retained non-create command names, inputs, authority semantics, and general envelope behavior remain stable unless explicitly approved otherwise.",Contract diff/oracle covers every exposed command and field; connected GPT Action import plus full lifecycle passes against the PG authority.,3,Not started,Canonical command definition and deployable PG service.
CUT-003,postgresql-cutover.md §4.1/§8.6; OPEN-5,"Neither the legacy external response nor the PG command port implements the approved canonical create result: required `dish_id`, optional `url`, optional `asana_task_gid`.",Cutover gap,fix,Yes,Legacy `result_envelope`; `_step5_create`; PG `_create`; clients/CLI; OpenAPI; GPT instructions; shadow evidence; lifecycle tests,Canonical Dish creation succeeds independently of Asana projection and exact replay returns the same Dish UUID.,"Schema and end-to-end tests prove required `dish_id`, URL identity, nullable real Asana GID, no Dish UUID in `task_gid`, and projection-failure independence.",3,Blocked,Phase 1 response specification and consumer migration plan.
CUT-004,postgresql-cutover-imp.md §4.1; hidden-consumer inventory §7,"The old Asana-oriented create result has production, generated, test, instruction, and likely host-local custom-GPT consumers.",Verification item,verify,Yes,`dish_tool/commands.py`; `dish_tool/results.py`; service clients; CLI; checked OpenAPI; `deploy/gpt-action.md`; tests; host custom GPT instructions,No consumer silently treats a Dish UUID as an Asana GID or loses the canonical identifier during migration.,Every discovered consumer has an owner/treatment and migration test; host-local live GPT instructions are inspected and updated before admission opens.,1,Active,Host access to `~/honest-pantry/dish-custom-gpt-instructions.md`.
CUT-005,postgresql-cutover.md §2.3; database-backend-imp.md,Production baseline capture is wired through a TEST SQLite manifest/location path rather than a truthful production capture composition.,Cutover gap,fix,Yes,`dish_pg/location_manifest.py`; legacy source/bootstrap/import runtime; host capture rehearsal script; deploy/runbooks,Dark launch and final cutover bind the exact production SQLite/WAL/sidecars and complete Asana corpus.,Production-shaped capture command emits immutable source/corpus identities without TEST paths and imports a clean generation successfully.,3,Not started,Production importer composition and host rehearsal.
CUT-006,postgresql-cutover.md §2.3/§8.1; database-backend-imp.md,"PG repositories, services, and command port exist, but no deployable production PostgreSQL authority service composition is present.",Cutover gap,fix,Yes,`dish_pg/*`; `dish_service` transport; configuration/auth/health; deploy units,"One authenticated, supervised PG mutation authority owns request validation, transactions, audit, outcomes, projection intent, and readiness.","Production-like service starts from deploy config, serves health/OpenAPI, executes/replays all retained commands, and restarts without authority loss.",3,Not started,Approved external contract and runtime configuration.
CUT-007,postgresql-cutover.md §2.3/§8.3,"Projection worker supports injected adapters, but no concrete production Asana projection/reread adapter or supervised worker composition exists.",Cutover gap,fix,Yes,`dish_pg/projection_worker.py`; adapter protocol; Asana backend; deploy units; projection/recovery tests,"Ordered idempotent projection has durable attempt identity, authoritative reread, and applied/not-applied/uncertain settlement.","Production-shaped isolated-Asana test exercises create/update/move/complete, ambiguous response recovery, restart, and drift reconciliation.",3,Not started,PG authority service and credentials-safe deployment.
CUT-008,postgresql-cutover.md §2.3/§8.4,"Reconciliation worker accepts injected fetcher/comparator functions, but no concrete production Asana corpus fetcher/comparator exists.",Cutover gap,fix,Yes,`dish_pg/reconciliation_worker.py`; transition/release validation; Asana fetch/reread; deploy units,"Expected membership is independently enumerated and every missing, unknown, stale, or mismatched object is reported.",Production-shaped reconciliation against an isolated complete corpus proves independent membership and repeatable immutable report identity.,3,Not started,Projection adapter and final import report schema.
CUT-009,postgresql-cutover.md §2.3; release validation inspection,The shipped reconciliation path cannot populate all fields required by release validation.,Cutover gap,fix,Yes,`dish_pg/reconciliation_worker.py`; `release_validation.py`; reconciliation run/item models; release CLI,"The final gate is satisfiable only by evidence emitted by real production tooling, not test fixture construction.",A production-shaped run fills every validator-required field and the same report passes candidate/cutover validation without manual DB inserts.,3,Not started,Target reconciliation report and control-plane simplification.
CUT-010,postgresql-cutover.md §2.3; hidden-consumer inventory §§2–3,Some import/readiness evidence required by validators has readers but no production writer (`source_import_native_links` and typed worker inventory/evidence/completion).,Cutover gap,merge,Yes,Import-link and readiness tables; `candidate_manifest.py`; `cutover_control.py`; `release_validation.py`; release CLI,Every retained evidence requirement is reachable from a production command and directly proves a required safety property.,"For every validator field, a traced production writer and end-to-end test exist, or the field/table is removed and its guarantee is proved by the replacement report.",2,Blocked,Approved target schema and report formats.
CUT-011,postgresql-cutover.md §2.3; release validation inspection,Invocation-audit obligations required by cutover validation are not all fulfilled by an identified production path.,Cutover gap,verify,Yes,Request/execution/audit/operation records; release validation; service and admin commands,"Every accepted consequential invocation is durably attributable to principal, run, request, command, payload, authorization, and outcome.",Field-by-field writer trace plus production-shaped lifecycle shows all required obligations populated without fixture-only inserts.,1,Investigating,Canonical command/audit contract.
CUT-012,postgresql-cutover.md Phase 1 authorization gate; OPEN-7/8,"Planning challenge and `agent_override` behavior has not been proved across service, CLI, GPT Actions, agent instructions, PG port, and tests to be incapable of authorizing mutation.",Verification item,verify,Yes,Planning challenge tables; legacy/PG start commands; authorization grants; OpenAPI; GPT instructions; tests,"Planning confirmation can only begin Planning; mutation approval remains bound to Marco’s exact words, proposal, candidate, and version.",Cross-surface negative tests attempt to reuse challenge/override data for every mutation path and fail; positive exact authorization tests pass.,1,Not started,Inspect host custom GPT instructions and canonical authorization transitions.
CUT-013,postgresql-cutover.md §2.5/§9.1,"The design states no PostgreSQL data requires preservation, but this must be reconfirmed immediately before schema squash.",Verification item,verify,Yes,Target databases; rehearsal artifacts; migration plan; operator runbook,No non-disposable authority/evidence is lost by rebuilding the target and squashing migrations.,Signed inventory of PG instances/data plus archived required reports shows all retained data is disposable or exported.,1,Ready,Host/database inspection at the squash gate.
STR-001,postgresql-cutover.md §2.4,"The current ORM exposes 102 application tables, many belonging to a release/certification control plane larger than Stage A needs.",Excess,merge,No,All `dish_pg` models; release/cutover/import/readiness schema,The reduced schema still implements every approved Stage A transition and production read/write path.,Approved target table inventory maps every retained guarantee and consumer; clean rebuilt DB passes schema/behavior tests.,2,Blocked,Complete Phase 1 contract and hidden-consumer approval.
STR-002,postgresql-cutover.md §2.4/§9,The active Alembic history has 29 revisions despite no preservation requirement for deployed PG data.,Excess,merge,No,`dish_pg/migrations/versions/0001..0029`; frozen migration tests; runbooks,A clean target installs all approved constraints/triggers/functions and records one unambiguous schema head.,"One squashed initial migration upgrades a clean DB; ORM/schema, PGlite, native trigger/concurrency, import, and full contract tests pass.",2,Blocked,Approved target schema and archive of old history.
STR-003,postgresql-cutover.md §2.4/§5/§6,Release/evidence structures contain chains that certify other evidence and duplicate one cutover snapshot/provenance record.,Excess,merge,No,Release candidates/items/bundles; rehearsals/checkpoints; manifests/bindings/revalidations; approvals/runs/closures/recertifications,Approval binds exact evidence and irreversible transitions remain auditable without redundant attestations.,Replacement cutover record and external reports preserve all required digests/timestamps/identities; all old readers/CLI commands are migrated.,2,Blocked,Control-plane transition specification and consumer inventory.
STR-004,postgresql-cutover.md §2.4/§7; hidden-consumer inventory §8,"Command name, principal, consequence/replay, effects, exposure, migration treatment, and dark-launch treatment are repeated across multiple registries and generated artifacts.",Excess,merge,No,Legacy/PG command specs; effects; clients; CLI/admin metadata; shadow policy; OpenAPI; baseline JSON; tests,One typed source derives every mechanical consumer while preserving distinct policy dimensions.,Generation/check tests fail on hand-edited drift; `inspect` and `apply-proposal` regressions cannot recur through duplicate lists.,2,Not started,"Phase 0 fixes may be coordinated first, then source consolidation."
STR-005,postgresql-cutover.md §2.4/§10.3,"The Stage A baseline hashes 189 test files, so test organization changes appear as product-contract drift.",Excess,merge,No,Stage A baseline generator/JSON; frozen characterization tests; test governance,"Baseline freezes governing production artifacts, command/schema decisions, invariant categories, and executed report digests—not helper layout.",Moving/renaming a test helper does not change product baseline identity; changing governing production semantics does.,2,Not started,Canonical command/schema identities.
STR-006,postgresql-cutover.md §2.4/§9.3,"SQLite compatibility code for `dish_pg` duplicates PostgreSQL triggers, constraints, and migration behavior.",Excess,delete,No,SQLite branches in PG migrations/tests; PGlite/native lanes,Pure logic remains cheaply testable while PostgreSQL-specific integrity is certified by PGlite/native PostgreSQL.,Removed emulation has equivalent PGlite/native coverage; no certification result is inferred from SQLite.,2,Not started,Squashed schema and stable native/PGlite inventories.
STR-007,postgresql-cutover.md §2.4/§10.2,Test-governance metadata and exact structural checks can block harmless file movement/helper extraction.,Excess,merge,No,`test_selection`; ownership CSV; baseline hashes; line/duplicate-body checks,Changed-path selection remains risk-aware without treating source layout as a product invariant.,Advisory structural checks and derived ownership still select all semantic lanes; map validation passes after representative refactors.,2,Not started,Baseline redesign and test-policy update.
STR-008,postgresql-cutover.md §6.4; hidden-consumer inventory §1,"`causality_edges` has only its ORM declaration, frozen historical DDL, and cutover-document references; no executable reader/writer or test construction was found.",Inert schema,delete,No,`dish_pg/stage3_models.py`; frozen migration; target schema,"Required audit/causality facts, if any, remain queryable from retained execution/request/event records.",Approved schema omits the table; repository search stays free of executable consumers; retained audit regression passes.,2,Ready,Behavioral-contract approval.
STR-009,postgresql-cutover.md §6.4; hidden-consumer inventory §1,"`request_uncertainty_resolutions` has only its ORM declaration, frozen historical DDL, and cutover-document references.",Inert schema,delete,No,`dish_pg/stage3_models.py`; frozen migration; request settlement design,Pending/uncertain requests remain fail-closed and resolvable through retained request/outcome/recovery authority.,Approved schema omits the table and uncertain-result/replay tests pass using only retained structures.,2,Ready,Behavioral-contract approval.
STR-010,postgresql-cutover.md §6.4; hidden-consumer inventory §1,"`applied_migration_events` has a repository insert API and test-only constructors, but no production producer or reader.",Inert schema,merge,No,`dish_pg/models.py`; `repositories.py`; Stage 2 tests; migration `0002`,Schema/application provenance remains bound to generation/cutover identity.,Provenance fields exist on the retained record; no non-test call site needs the standalone table/API; schema omits it.,2,Ready,Target generation/cutover record specification.
STR-011,postgresql-cutover.md §6.4; hidden-consumer inventory §1,"`generation_bootstrap_authorities` is read when registering a run and has an insert API, but no production constructor was found.",Verification item,verify,No,Generation bootstrap model/repository; `workflow.register_run`; Stage 2 tests,"Initial-run authorization is explicit and generation-bound, with no unreachable optional branch.","Either a production bootstrap path and test exist, or the reader/API/table are removed after moving the guarantee.",2,Investigating,Target run/bootstrap transition design.
STR-012,postgresql-cutover.md §6.4; hidden-consumer inventory §2,`source_import_native_links` is required by release validation and candidate digesting but has no production writer.,Incomplete schema,merge,Yes,Import link models; release validation; candidate manifest; tests/migration `0024`,Every imported source identity is exactly and independently bound to its canonical target.,Replacement import report or production writer satisfies validator end-to-end; no fixture-only rows are required.,2,Blocked,Approved final import report format.
STR-013,postgresql-cutover.md §6.3/§6.4; hidden-consumer inventory §3,"Typed worker probe inventory/requirements/evidence/completion are runtime readers with test-only producers, creating an unreachable evidence chain.",Incomplete schema,delete,No,Typed readiness models; candidate manifest; cutover/release validation; migration `0026`; tests,"Runtime readiness is proved by a canonical, sealed production rehearsal report with required probes and artifact identity.",Release/cutover validators consume the replacement report; production command creates it; old tables and fixture fabrication are removed.,2,Blocked,Readiness report contract and control-plane migration.
STR-014,postgresql-cutover.md §6.2/§6.3; hidden-consumer inventory §4,"Release candidates, rehearsals, manifests, approvals, cutover runs, closures, recertifications, and evidence bundles are proposed for collapse but have real service/CLI consumers.",Excess,merge,No,Stage 6–8 models/services; `scripts/dish-pg-release`; runbooks/tests,"One cutover snapshot/record plus referenced reports preserves approval, chronology, fencing, backup, import, reconciliation, activation, and first-request evidence.",Consumer-by-consumer migration is complete; old CLI commands either map to the new model or are removed with runbook/tests; no old table is queried.,2,Blocked,Approved cutover record state machine.
STR-015,postgresql-cutover.md §6.2; hidden-consumer inventory §4,First-admission plans and reservations are proposed for collapse but currently enforce exact first-request admission and have runtime consumers.,Excess,merge,No,`first_admission_plans`; `first_request_reservations`; workflow/cutover control; migration triggers; release CLI/tests,The replacement `exact_request` gate admits only one predefined principal/run/command/payload/request identity and preserves replay.,Native contention and replay tests pass against the new three-state admission gate; old tables/commands are absent.,2,Blocked,Minimal admission-gate implementation.
STR-016,postgresql-cutover.md §6.2; hidden-consumer inventory §7,"The top-level `task_gid` result field and create response semantics are embedded across production code, checked OpenAPI, GPT instructions, and tests.",Contract migration,merge,Yes,Result envelope; create handler; clients/CLI; Action schemas/instructions; lifecycle tests; shadow translation,Asana identity remains semantically distinct from canonical Dish identity throughout migration.,All old consumers are migrated or intentionally retain a real Asana GID; no schema/example/test permits a Dish UUID in `task_gid`.,1,Active,Approved create response and host instruction inspection.
STR-017,CLAUDE.md; hidden-consumer inventory §7,"The live custom GPT instructions are outside the supplied archive, so their hidden command/create consumers cannot be proved from this checkout.",Verification item,verify,Yes,Host file `~/honest-pantry/dish-custom-gpt-instructions.md`; GPT configuration,Deployed agent instructions match the checked schema and command/request semantics.,"Host file and imported GPT configuration are reviewed, versioned by digest, and included in connected acceptance evidence.",1,Blocked,Host access.
STR-018,postgresql-cutover.md §8; deploy tree inspection,"Deployment templates cover the legacy service/router and dark-launch shadow worker, not PG authority, projection, reconciliation, and importer services.",Cutover gap,fix,Yes,`dish/deploy`; service/worker entry points; ops/runbooks,"Every production runtime has supervised startup, configuration, credentials, health/readiness, restart, and log ownership.",Production-shaped deployment rehearsal starts/restarts all components and exercises one complete request/projection/reconciliation flow.,3,Not started,Concrete adapters and authority service.
OPS-001,ops-issues.md local validation §1; database-backend-postgresql-test-plan.md §1,The process-failure/commit-before-response exercise has not been run in this snapshot.,Verification item,verify,Yes,Service request/replay; failure injection; process supervision; evidence report,A committed result survives response loss and exact replay never re-executes external effects.,Reproducible §1 script/report passes against production-shaped topology; first-attempt output is archived.,4,Blocked,Deployable PG service and test topology.
OPS-002,ops-issues.md local validation §2; PostgreSQL test plan §2,"Backup, restore, rename-fault/recovery, and PITR rehearsal has not been run.",Verification item,verify,Yes,Backup/restore tooling; database fingerprints; reservation recovery; runbook,"Verified restore preserves corpus, workflow, audit, requests, schema, and projection state; ambiguous backup creation fails closed.",Reproducible backup/restore report and rename-fault test pass; off-device artifact identity is recorded; PITR is run or explicitly waived by approved RPO.,5,Blocked,Production-shaped PG topology and approved RPO.
OPS-003,ops-issues.md local validation §3,"Runtime wiring rehearsal was run, but it establishes local wiring only, not production acceptance.",Verification item,retain,No,Archived §3 evidence; runtime wiring scripts,Local wiring evidence remains accurately scoped and is not presented as native or production certification.,Report metadata names its scope and later gates do not infer production readiness from it.,4,Complete,None; preserve evidence scope labels.
OPS-004,ops-issues.md local validation §4; database-backend-imp.md,Production-shaped local rehearsal has not been run.,Verification item,verify,Yes,PG service; workers; importer; Asana isolation; deployment units; operational evidence,"The complete production topology can execute, restart, reconcile, and recover before live dark launch.",Reproducible §4 report passes with real PostgreSQL and isolated Asana targets.,4,Blocked,Phases 2–3 runtime completion.
OPS-005,ops-issues.md Done: first-request reservation/consumption,The current code contains a generation/candidate-bound first-request reservation and consumption mechanism.,Verified implementation,retain,No,"Reservation models; workflow; cutover control; migrations `0020`, `0028`, `0029`; native/PGlite tests",Exact first request remains single-use and replay-safe until replaced by `exact_request` admission.,Existing native/PGlite tests stay green during migration; replacement tests prove equivalent identity/fencing.,2,Complete,Collapse treatment STR-015.
OPS-006,ops-issues.md Done: shadow-baseline disqualification,A stale-generation shadow-baseline disqualification mechanism exists.,Verified implementation,retain,No,`transition.disqualify_stale_baselines`; dark-launch/release tests,Only the active generation can contribute qualifying shadow evidence.,Generation-change tests disqualify stale open baselines and candidate evaluation rejects them.,4,Complete,Separate capture-vs-close race remains OPS-024.
